CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A508,ALMENARA,MG,SE,-16.16666666,-40.68777777,189.11,15/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,125144.0,6352.0,4579.0,4.830565188294701,False,incluida,,alta
A551,RIO PARDO DE MINAS,MG,SE,-15.72305554,-42.43583333,850.06,17/11/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130379.0,1117.0,3336.0,0.8494554967451481,False,incluida,,alta
A562,PATOS DE MINAS,MG,SE,-18.52055554,-46.44055555,950.0,12/05/17,2017-05-12 00:00:00,2022-12-31 23:00:00,49440.0,47404.0,2036.0,3047.0,4.118122977346278,False,incluida,,alta
A622,PRESIDENTE KENNEDY,ES,SE,-21.10083333,-41.03944444,69.12,18/06/08,2008-06-18 00:00:00,2022-12-31 23:00:00,127440.0,122040.0,5400.0,7550.0,4.237288135593221,False,incluida,,alta
A624,NOVA FRIBURGO - SALINAS,RJ,SE,-22.33472221,-42.67694443,1070.0,18/09/10,2010-09-17 00:00:00,2022-12-31 23:00:00,107736.0,106948.0,788.0,5430.0,0.7314175391698226,False,incluida,,alta
A767,SAO SEBASTIAO,SP,SE,-23.81083333,-45.4025,24.0,25/10/17,,,,,,,,,,,excluida
C891,CRIOSFERA,SP,SE,-84.0,-79.49416666,1285.0,09/01/12,2020-01-01 00:00:00,2020-12-31 23:00:00,8784.0,7217.0,1567.0,0.0,17.839253187613842,False,incluida,,baixa
A741,BARRA BONITA,SP,SE,-22.4711111,-48.5575,533.68,24/04/08,2008-11-05 12:00:00,2012-02-01 05:00:00,28386.0,28334.0,52.0,0.0,0.1831888959346156,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A770,SAO SIMAO,SP,SE,-21.46111111,-47.57944443,620.0,03/07/19,2019-07-03 00:00:00,2022-12-31 23:00:00,30672.0,30416.0,256.0,55.0,0.8346374543557642,False,incluida,,alta
A511,TIMOTEO,MG,SE,-19.57388888,-42.62249999,493.42,22/02/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130949.0,547.0,6894.0,0.4159822352010707,False,incluida,,alta
A564,DIVINOPOLIS,MG,SE,-20.17333332,-44.87499999,796.0,26/10/17,2017-10-26 00:00:00,2022-12-31 23:00:00,45432.0,45403.0,29.0,823.0,0.0638316605036097,False,incluida,,alta
A617,ALEGRE,ES,SE,-20.75055555,-41.48888888,138.0,25/10/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130065.0,1431.0,8390.0,1.0882460302974994,False,incluida,,alta
A621,RIO DE JANEIRO - VILA MILITAR,RJ,SE,-22.86138888,-43.41138888,30.43,13/04/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128795.0,2701.0,2505.0,2.0540548761939528,False,incluida,,alta
A628,ANGRA DOS REIS,RJ,SE,-22.97555554,-44.30333333,6.0,25/08/17,2017-08-25 00:00:00,2022-12-31 23:00:00,46920.0,44482.0,2438.0,6033.0,5.196078431372549,False,incluida,,media
A636,RIO DE JANEIRO - JACAREPAGUA,RJ,SE,-22.93999999,-43.40277777,20.0,10/08/17,2017-08-10 00:00:00,2022-12-31 23:00:00,47280.0,46553.0,727.0,0.0,1.537648054145516,False,incluida,,alta
A509,MONTE VERDE,MG,SE,-22.86166666,-46.04333333,1544.89,19/12/04,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130985.0,511.0,7059.0,0.3886049765772343,False,incluida,,alta
A540,MANTENA,MG,SE,-18.78062,-40.986505,254.91,01/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129219.0,2277.0,4340.0,1.7316116079576565,False,incluida,,alta
A553,JOAO PINHEIRO,MG,SE,-17.78444444,-46.11944443,877.05,07/07/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127487.0,4009.0,6768.0,3.0487619395266776,False,incluida,,alta
A713,SOROCABA,SP,SE,-23.4261111,-47.58555555,609.33,22/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,123968.0,7528.0,5217.0,5.724888970006692,False,incluida,,media
A716,OURINHOS,SP,SE,-22.94888888,-49.89444444,443.49,29/08/06,2008-01-01 00:00:00,2021-12-31 23:00:00,122736.0,116971.0,5765.0,14437.0,4.69707339329944,False,incluida,,alta
A606,ARRAIAL DO CABO,RJ,SE,-22.97527777,-42.02138888,5.0,22/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129372.0,2124.0,4997.0,1.6152582588063515,False,incluida,,alta
A728,TAUBATE,SP,SE,-23.04166666,-45.52083332,582.26,20/12/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,126275.0,5221.0,13616.0,3.970462979862505,False,incluida,,alta
A631,ECOPORANGA,ES,SE,-18.29138888,-40.73638888,224.0,17/03/17,2017-03-17 00:00:00,2022-12-31 23:00:00,50784.0,41634.0,9150.0,922.0,18.01748582230624,False,incluida,,baixa
A632,MARILANDIA,ES,SE,-19.40722222,-40.53972221,95.0,22/03/17,2017-03-22 00:00:00,2022-12-31 23:00:00,50664.0,47186.0,3478.0,0.0,6.864834991315332,False,incluida,,media
A736,ARIRANHA,SP,SE,-21.13305554,-48.84055555,525.44,13/11/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,115078.0,16418.0,15093.0,12.485550891281864,False,incluida,,media
A526,MONTALVANIA,MG,SE,-14.40833333,-44.40416666,519.52,26/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128247.0,3249.0,11658.0,2.470797590801241,False,incluida,,alta
A550,ITAOBIM,MG,SE,-16.575667,-41.485588,271.63,05/09/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129504.0,1992.0,5865.0,1.5148749771856178,False,incluida,,alta
A602,RIO DE JANEIRO-MARAMBAIA,RJ,SE,-23.05027777,-43.59555555,12.0,08/11/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130773.0,723.0,1633.0,0.5498266106953824,False,incluida,,alta
A734,VALPARAISO,SP,SE,-21.31916666,-50.93027777,381.9,30/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,124864.0,6632.0,6259.0,5.043499422035652,False,incluida,,media
F501,BELO HORIZONTE - CERCADINHO,MG,SE,-19.97999999,-43.95861111,1199.55,27/12/13,2013-12-27 00:00:00,2022-12-31 23:00:00,79008.0,78827.0,181.0,780.0,0.2290907249898744,False,incluida,,alta
