protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-A-3162807-12200-20111220,São João Evangelista,MG,2011-12-20,12200,3162807,Sudeste,Enxurradas,Hidrológico,1
MG-A-3162922-12100-20090104,São Joaquim de Bicas,MG,2009-01-04,12100,3162922,Sudeste,Inundações,Hidrológico,1
MG-F-3162922-12100-20220107,São Joaquim de Bicas,MG,2022-01-07,12100,3162922,Sudeste,Inundações,Hidrológico,1
MG-A-3163102-12100-20080301,São José da Varginha,MG,2008-03-01,12100,3163102,Sudeste,Inundações,Hidrológico,1
MG-F-3163508-12200-20131224,São José do Jacuri,MG,2013-12-25,12200,3163508,Sudeste,Enxurradas,Hidrológico,1
MG-A-3163706-12200-20090119,São Lourenço,MG,2009-01-19,12200,3163706,Sudeste,Enxurradas,Hidrológico,1
MG-A-3163706-12200-20090227,São Lourenço,MG,2009-02-27,12200,3163706,Sudeste,Enxurradas,Hidrológico,1
MG-C-3163706-12200-20090504,São Lourenço,MG,2009-05-04,12200,3163706,Sudeste,Enxurradas,Hidrológico,1
MG-F-3163706-12100-20160117,São Lourenço,MG,2016-01-17,12100,3163706,Sudeste,Inundações,Hidrológico,1
MG-F-3163706-12300-20220103,São Lourenço,MG,2022-01-03,12300,3163706,Sudeste,Alagamentos,Hidrológico,1
MG-A-3163805-12100-20081217,São Miguel do Anta,MG,2008-12-17,12100,3163805,Sudeste,Inundações,Hidrológico,1
